Rang;n° rue;Nom rue;Code postal;Ville;Date création;Nom société;APE;Catégorie;Nbr employé;Mise à jour;Date finance;Revenu;Profit
323;449;AVENUE WILLY BRANDT;59777;LILLE;2013;AREP;7112B;Ingénierie, études techniques;436;2014-02-09T00:00:00;31/12/2015;60502377;1759904
324;201;RUE VICTOR HUGO LOMME;59160;LILLE;1981;TENNECO AUTOMOTIVE FRANCE SAS;2932Z;Fabrication d'autres équipements automobiles;57;2014-07-03T00:00:00;31/12/2015;60287045;-6285190
325;;AVENUE DE MONT A CAMP LOMME;59160;LILLE;2015;GFDDV;4722Z;Comm. détail viandes & produits à  base de viande (magas. spéc.);307;2015-10-16T00:00:00;31/03/2015;59858449;1294406
326;165;AVENUE DE LA BRETAGNE;59000;LILLE;2012;TATA CONSULTANY SERVICES FRANCE SAS;6202A;Conseil en systèmes et logiciels informatiques;211;2014-02-16T00:00:00;31/03/2015;58903428;-2816067
327;74;RUE DES FUSILLES;59160;LILLE;2004;DISTRILAP;4613Z;Intermédiaires du commerce en bois et matériaux de construction;1393;2008-04-15T00:00:00;31/12/2015;58764090;-11684205
328;;ZAMIN 2EME AVENUE;59160;LILLE;2007;LA BOVIDA SA;4669C;Comm. gros de fournitures & équipts divers pour commerces & sces;341;2016-12-01T00:00:00;31/12/2015;58430851;1087476
329;84;RUE ESQUERMOISE;59800;LILLE;2015;LA BOVIDA SA;4669C;Comm. gros de fournitures & équipts divers pour commerces & sces;341;2015-09-25T00:00:00;31/12/2015;58430851;1087476
330;8;RUE DU SEC AREMBAULT;59800;LILLE;2006;ROUGEGORGE LINGERIE;4771Z;Commerce de détail d'habillement en magasin spécialisé;335;2006-06-07T00:00:00;31/12/2015;58029854;2151436
331;4;RUE NEUVE;59000;LILLE;2016;ROUGEGORGE LINGERIE;4771Z;Commerce de détail d'habillement en magasin spécialisé;335;2016-10-19T00:00:00;31/12/2015;58029854;2151436
332;;PONT DE TOURNAI;59000;LILLE;2013;COGESTAR;3511Z;Production d'électricité;;2014-01-23T00:00:00;31/12/2015;57215214;1945523
333;15;RUE BASSE;59800;LILLE;1992;CMC;4771Z;Commerce de détail d'habillement en magasin spécialisé;308;1992-10-05T00:00:00;31/12/2015;56630147;59748
334;679;AVENUE DE LA REPUBLIQUE;59800;LILLE;2013;SODIFRANCE ISIS;6202A;Conseil en systèmes et logiciels informatiques;412;2013-07-05T00:00:00;31/12/2015;56554174;1760414
335;20;RUE HEGEL LOMME;59160;LILLE;2010;AUTO BILAN FRANCE;7120A;Contrà´le technique automobile;600;2011-01-21T00:00:00;31/12/2015;56103586;-1140468
336;6;RUE ARMAND CARREL;59000;LILLE;2013;AUTO BILAN FRANCE;7120A;Contrà´le technique automobile;600;2014-09-09T00:00:00;31/12/2015;56103586;-1140468
337;10;RUE DE COURTRAI;59800;LILLE;2003;IBIS BUDGET;5510Z;Hà´tels et hébergement similaire;1;2016-12-15T09:08:37;31/12/2015;55405142;5968632
338;30;RUE THIERS;59800;LILLE;1999;CA INDOSUEZ GESTION;6630Z;Gestion de fonds;50;2000-06-13T00:00:00;31/12/2015;53771000;9116000
339;48;RUE DE LA GRANDE CHAUSSEE;59800;LILLE;2011;CLAUDIE PIERLOT;1413Z;Fabrication de vàªtements de dessus;300;2012-02-12T00:00:00;31/12/2015;53502860;513113
340;14;RUE DU VIEUX FAUBOURG;59800;LILLE;2016;MATIS TECHNOLOGIES  M T;7112B;Ingénierie, études techniques;693;2016-11-17T00:00:00;31/12/2015;53388160;-2476264
341;80;RUE DE PARIS;59800;LILLE;2009;SOCIETE PROVENCALE D'ACHAT ET DE GESTION;4771Z;Commerce de détail d'habillement en magasin spécialisé;377;2009-02-02T00:00:00;30/06/2015;52748797;3737185
342;50;ALLEE DE SAFED;59777;LILLE;2013;SILLIKER;7120B;Analyses, essais et inspections techniques;670;2013-09-27T00:00:00;30/09/2015;52182861;1320183
343;38;PLACE DU GENERAL DE GAULLE;59800;LILLE;1999;MARIONNAUD ESPACES;4775Z;Comm. détail de parfumerie & produits de beauté en magasin spéc.;276;2007-04-19T00:00:00;31/12/2015;51847976;-11450254
344;4;RUE DES CHATS BOSSUS;59800;LILLE;2006;KIDILIZ RETAIL;4771Z;Commerce de détail d'habillement en magasin spécialisé;254;2006-06-15T00:00:00;31/12/2015;51219543;-7163448
345;7;BOULEVARD LOUIS XIV;59800;LILLE;2014;SMILE;6202A;Conseil en systèmes et logiciels informatiques;582;2016-01-17T00:00:00;31/12/2015;50981594;1638758
346;521;BOULEVARD DU PRESIDENT HOOVER;59000;LILLE;2010;BPD MARIGNAN;6420Z;Activités des sociétés holding;336;2011-02-07T00:00:00;31/12/2015;50498580;16281453
347;19;RUE DU CURE ST ETIENNE;59800;LILLE;2008;AUBADE PARIS;1414Z;Fabrication de vàªtements de dessous;329;2008-02-06T00:00:00;31/12/2015;50178014;1884433
348;15;PLACE LOUISE DE BETTIGNIES;59800;LILLE;2004;DIESEL FRANCE;4642Z;Commerce de gros d'habillement et de chaussures;311;2004-05-05T00:00:00;31/12/2015;49431582;-2618930
349;64;RUE NATIONALE;59800;LILLE;2014;FARO;4771Z;Commerce de détail d'habillement en magasin spécialisé;187;2014-03-31T00:00:00;30/04/2015;48920500;-214719
350;11;RUE DES CHATS BOSSUS;59800;LILLE;2016;MICHAEL KORS (FRANCE);4772B;Commerce de détail de maroquinerie et d'articles de voyage;241;2016-11-16T00:00:00;31/03/2015;48641814;2589714
351;;PLACE DU GENERAL DE GAULLE;59800;LILLE;2010;CARIBOO;4771Z;Commerce de détail d'habillement en magasin spécialisé;345;2011-01-30T00:00:00;31/10/2015;48238777;-3426852
352;7;BOULEVARD LOUIS XIV;59800;LILLE;2005;BELVIA IMMOBILIER;6831Z;Agences immobilières;600;2008-03-03T00:00:00;31/12/2015;47536701;10151906
353;4;RUE DE L EUROPE;59000;LILLE;2005;STRICHER;7712Z;Location et location-bail de camions;159;2005-11-08T00:00:00;31/12/2015;47127588;2427967
354;11;PARVIS DE ROTTERDAM;59777;LILLE;2014;MYFERRYLINK SAS;5222Z;Services auxiliaires des transports par eau;10;2016-07-21T00:00:00;31/12/2015;46598160;-11867304
355;677;AVENUE DE LA REPUBLIQUE;59800;LILLE;2015;TPF INGENIERIE;7112B;Ingénierie, études techniques;561;2015-07-30T00:00:00;31/12/2015;45839403;901907
356;;RUE DE LA ZAMIN;59160;LILLE;2015;CALBERSON PICARDIE;5229A;Messagerie, fret express;274;2015-05-29T00:00:00;31/12/2015;45816464;413273
357;3;RUE DU PRIEURE;59800;LILLE;2013;P.G.A MOTORS;7010Z;Activités des sièges sociaux;45;2016-08-24T00:00:00;31/12/2015;45299717;2941648
358;102;RUE NATIONALE;59800;LILLE;1997;COUTOT ROEHRIG;9609Z;Autres services personnels n.c.a.;253;1997-07-10T00:00:00;31/12/2015;44797109;2911678
359;679;AVENUE DE LA REPUBLIQUE;59800;LILLE;2000;SAMSON REGULATION SA;2814Z;Fabrication d'autres articles de robinetterie;261;2003-01-04T00:00:00;31/12/2015;44062073;5083194
360;1;BOULEVARD DE LA LIBERTE;59800;LILLE;1900;JOHNSON CONTROLS FRANCE;8121Z;Nettoyage courant des bâtiments;209;1994-01-18T00:00:00;30/09/2015;43936733;6377565
361;53;RUE SAINT ETIENNE;59800;LILLE;2016;COMPTOIR DES VOYAGES;7912Z;Activités des voyagistes;103;2016-09-29T00:00:00;31/12/2015;43842823;1619347
362;4;RUE COLBERT;59000;LILLE;1992;CONRAD ELECTRONIC;4791A;Vente à  distance sur catalogue général;104;2007-03-26T00:00:00;31/12/2015;43391726;853465
363;;CTRE COMMERCIAL EURALILLE;59777;LILLE;2011;KAPORAL STORES;4771Z;Commerce de détail d'habillement en magasin spécialisé;349;2011-03-28T00:00:00;31/12/2015;43176908;-6161665
364;21;RUE DE LA VIEILLE COMEDIE;59800;LILLE;2015;KAPORAL STORES;4771Z;Commerce de détail d'habillement en magasin spécialisé;349;2015-06-16T00:00:00;31/12/2015;43176908;-6161665
365;21;RUE DE LA VIEILLE COMEDIE;59800;LILLE;2015;KAPORAL STORES;4771Z;Commerce de détail d'habillement en magasin spécialisé;349;2015-06-16T00:00:00;31/12/2015;43176908;-6161665
366;;CTRE COMMERCIAL EURALILLE;59777;LILLE;2011;KAPORAL STORES;4771Z;Commerce de détail d'habillement en magasin spécialisé;349;2011-03-28T00:00:00;31/12/2015;43176908;-6161665
367;4;RUE DE LA BOURSE;59800;LILLE;2001;MONTBLANC FRANCE;4649Z;Commerce de gros d'autres biens domestiques;91;2007-11-09T00:00:00;31/03/2015;42692360;319934
368;;BOULEVARD DE TURIN;59777;LILLE;2009;SNC EXPLOITATION HOTELS SUITES;5510Z;Hà´tels et hébergement similaire;178;2010-12-27T00:00:00;31/12/2015;42409179;1639164
369;83;BOULEVARD MONTEBELLO;59000;LILLE;2015;CERTAS ENERGY FRANCE;4730Z;Commerce de détail de carburants en magasin spécialisé;12;2015-09-04T00:00:00;30/06/2015;41842938;-1946060
370;72;AVENUE DU PRESIDENT KENNEDY;59800;LILLE;2015;CERTAS ENERGY FRANCE;4730Z;Commerce de détail de carburants en magasin spécialisé;12;2015-09-04T00:00:00;30/06/2015;41842938;-1946060
371;22;RUE ANATOLE FRANCE;59800;LILLE;2014;SOFICOR-MADER;2030Z;Fabrication de peintures, vernis, encres et mastics;234;2015-08-01T00:00:00;31/12/2015;41337659;42824
372;18;RUE DE BETHUNE;59800;LILLE;2013;PYLONES;4759B;Commerce de détail d'autres équipements du foyer;300;2014-06-11T00:00:00;31/12/2015;41237033;1855173
373;130;RUE DU GRAND BUT LOMME;59160;LILLE;2015;NATURHOUSE;4729Z;Autres commerces de détail alimentaires en magasin spécialisé;40;2015-11-23T00:00:00;31/12/2015;41007680;11896460
374;33;RUE NEGRIER;59800;LILLE;2015;HEBDOS COMMUNICATION;7312Z;Régie publicitaire de médias;186;2015-01-21T00:00:00;31/12/2015;40951349;-14802
375;;RUE DE LA ZAMIN;59160;LILLE;2015;FLANDRE EXPRESS;5229A;Messagerie, fret express;206;2015-05-29T00:00:00;31/12/2015;40332166;2926692
376;11;PARVIS DE ROTTERDAM;59777;LILLE;2009;SOCORAIL;5224B;Manutention non portuaire;453;2016-07-07T00:00:00;31/12/2015;40249175;-865610
377;455;AVENUE DE DUNKERQUE LOMME;59160;LILLE;1998;GARAGE DE LA LYS;4511Z;Commerce de voitures et de véhicules automobiles légers;105;2015-01-26T00:00:00;31/12/2015;39015517;504130
378;51;RUE MARCEL HENAUX;59000;LILLE;1998;AIRFLUX;4669B;Commerce de gros de fournitures et équipements industriels divers;191;2016-01-17T00:00:00;31/12/2015;38807536;477969
379;5;RUE DE L ESCAUT;59000;LILLE;2000;AIRFLUX;4669B;Commerce de gros de fournitures et équipements industriels divers;191;2008-08-25T00:00:00;31/12/2015;38807536;477969
380;148;RUE DE MARQUILLIES;59000;LILLE;2008;AIRFLUX;4669B;Commerce de gros de fournitures et équipements industriels divers;191;2016-09-07T00:00:00;31/12/2015;38807536;477969
381;;RUE DE LA ZAMIN;59160;LILLE;2015;GEODIS CALBERSON VALENCIENNES;4941B;Transports routiers de fret de proximité;221;2015-05-29T00:00:00;31/12/2015;38295096;2031846
382;;BOULEVARD DE TURIN;59777;LILLE;2007;BNP PARIBAS REAL ESTATE PROPERTY MANAGEMENT FRANCE SAS;6832A;Administration d'immeubles et autres biens immobiliers;278;2007-04-19T00:00:00;31/12/2015;38259263;2607282
383;23;PARVIS ST MAURICE;59800;LILLE;2013;EUROLINES;5221Z;Services auxiliaires des transports terrestres;170;2013-08-06T00:00:00;31/12/2015;38205753;-8985720
384;165;AVENUE DE LA BRETAGNE;59000;LILLE;2015;TATA COMMUNICATIONS (FRANCE);6110Z;Télécommunications filaires;50;2016-05-03T00:00:00;31/03/2015;38199886;-2589731
385;;CTRE COMMERCIAL EURALILLE;59777;LILLE;2008;STRADIVARIUS FRANCE;4771Z;Commerce de détail d'habillement en magasin spécialisé;294;2008-08-28T00:00:00;31/01/2015;38162245;-1200064
386;49;RUE DE BETHUNE;59800;LILLE;2008;STRADIVARIUS FRANCE;4771Z;Commerce de détail d'habillement en magasin spécialisé;294;2008-08-19T00:00:00;31/01/2015;38162245;-1200064
387;455;AVENUE DE DUNKERQUE LOMME;59160;LILLE;2004;GARAGE DE LA LYS;4511Z;Commerce de voitures et de véhicules automobiles légers;88;2015-01-26T00:00:00;31/12/2015;37174599;422240
388;84;RUE NATIONALE;59800;LILLE;2012;SOCIETE D ETUDES ET DE REALISATION DE GESTION IMMOBILIERE DE CONSTRUCTION;6832A;Administration d'immeubles et autres biens immobiliers;468;2012-03-06T00:00:00;31/12/2015;36827575;1235538
389;4;RUE WINSTON CHURCHILL LOMME;59160;LILLE;2007;ETS BLANQUART;4941A;Transports routiers de fret interurbains;172;2007-12-19T00:00:00;31/12/2015;36393961;612751
390;76;RUE LEONARD DANEL;59800;LILLE;2015;ETS BLANQUART;4941A;Transports routiers de fret interurbains;172;2016-02-01T00:00:00;31/12/2015;36393961;612751
391;2;PLACE DES PATINIERS;59800;LILLE;2008;GUESS FRANCE;4771Z;Commerce de détail d'habillement en magasin spécialisé;276;2008-10-22T00:00:00;31/01/2015;36305477;703245
392;6;PLACE DES PATINIERS;59800;LILLE;2008;GUESS FRANCE;4771Z;Commerce de détail d'habillement en magasin spécialisé;276;2010-12-29T00:00:00;31/01/2015;36305477;703245
393;;ZAMIN 2EME AVENUE;59160;LILLE;2007;PRO-DUO FRANCE;4645Z;Commerce de gros de parfumerie et de produits de beauté;226;2013-12-22T00:00:00;30/09/2015;36150590;-717120
394;19;RUE DE LA BOURSE;59800;LILLE;2008;ZARA HOME FRANCE;4759B;Commerce de détail d'autres équipements du foyer;247;2008-02-15T00:00:00;31/01/2015;36120153;1765088
395;;RUE DE PERENCHIES;59160;LILLE;1984;MINIT FRANCE;9523Z;Réparation de chaussures et d'articles en cuir;400;2005-06-09T00:00:00;31/03/2015;35870839;-117455
396;491;AVENUE DE DUNKERQUE LOMME;59160;LILLE;1995;EDA;7711A;Location de courte durée voitures & véhicules auto. légers;11;2003-01-04T00:00:00;31/12/2015;35840517;3187390
397;165;AVENUE DE LA BRETAGNE;59000;LILLE;2009;NIJI;6202A;Conseil en systèmes et logiciels informatiques;430;2011-02-13T00:00:00;31/12/2015;35712076;663096
398;60;BOULEVARD DE TURIN;59777;LILLE;2010;EASYTEAM;6202A;Conseil en systèmes et logiciels informatiques;92;2015-05-29T00:00:00;30/06/2015;35644250;-493392
399;140;RUE DU MOLINEL;59800;LILLE;2006;COIFFIDIS;4645Z;Commerce de gros de parfumerie et de produits de beauté;229;2006-04-25T00:00:00;31/12/2015;35351400;1915250
400;;AVENUE DE LA ROTONDE;59160;LILLE;2010;OLANO LADOUX;4941A;Transports routiers de fret interurbains;189;2010-08-06T00:00:00;31/12/2015;34884360;677862
401;;MARCHE D INTERET NATIONAL;59160;LILLE;1994;PHILIPPE MANUTENTION;7739Z;Location et location-bail machines, équipements et biens divers;142;2011-11-16T00:00:00;31/12/2015;34856252;2725675
402;76;BOULEVARD JEAN BAPTISTE LEBAS;59000;LILLE;2000;CABINET D'ETUDES MARC MERLIN;7112B;Ingénierie, études techniques;275;2000-10-20T00:00:00;31/12/2015;34486256;1518636
403;253;BOULEVARD DE LEEDS;59777;LILLE;2012;ESRI FRANCE SA;5829B;Edition de logiciels outils de développement et de langages;183;2012-11-06T00:00:00;31/12/2015;34300007;695694
404;3;PORT FLUVIAL 1 ERE AVENUE;59000;LILLE;1984;COMPAGNIE GENERALE DE LOCATION;7732Z;Location et location-bail machines & équipts pour la construction;230;1997-02-07T00:00:00;31/12/2015;34145028;1463177
405;34;RUE PATOU;59800;LILLE;2015;EPARGNE ACTUELLE;6622Z;Activités des agents et courtiers d'assurances;108;2015-11-06T00:00:00;31/12/2015;33917000;9319000
406;66;RUE NATIONALE;59800;LILLE;2012;EPARGNE ACTUELLE;6622Z;Activités des agents et courtiers d'assurances;108;2012-12-30T00:00:00;31/12/2015;33917000;9319000
407;172;RUE DE PARIS;59800;LILLE;2008;IBIS STYLES HOTELS;5510Z;Hà´tels et hébergement similaire;164;2012-07-31T00:00:00;31/12/2015;33505760;1497131
408;556;AVENUE WILLY BRANDT;59777;LILLE;2016;PWC INVESTISSEMENTS;7022Z;Conseil pour les affaires et autres conseils de gestion;46;2016-09-22T00:00:00;30/06/2015;33097268;2648103
409;42;RUE DU MOLINEL;59800;LILLE;2001;AB INTERIM;7820Z;Activités des agences de travail temporaire;786;2002-03-06T00:00:00;31/12/2015;32982177;1369442
410;26;RUE BASSE;59800;LILLE;2015;COTELAC;1413Z;Fabrication de vàªtements de dessus;237;2015-03-30T00:00:00;31/12/2015;32803380;1412303
411;19;RUE BARTHOLOME MASUREL;59800;LILLE;2011;COTELAC;1413Z;Fabrication de vàªtements de dessus;237;2014-05-06T00:00:00;31/12/2015;32803380;1412303
412;51;RUE DE L ALCAZAR;59800;LILLE;2012;PROTECTIM SECURITY SERVICES SAS;8010Z;Activités de sécurité privée;1068;2012-07-19T00:00:00;30/06/2015;32576449;1079942
413;38;RUE BASSE;59800;LILLE;2015;HILFIGER STORES FRANCE;4771Z;Commerce de détail d'habillement en magasin spécialisé;224;2015-06-03T00:00:00;31/01/2015;32516146;604252
414;38;RUE NEUVE;59000;LILLE;1997;HEYRAUD;4772A;Commerce de détail de la chaussure;259;1998-01-12T00:00:00;31/12/2015;32320017;-2828028
415;20;RUE GOMBERT;59800;LILLE;2004;UNOFI PATRIMOINE;6619A;Supports juridiques de gestion de patrimoine mobilier;192;2004-12-03T00:00:00;31/12/2015;32154000;4115903
416;100;RUE NATIONALE;59800;LILLE;2013;FONCIA INSTITUTIONNAL PROPERTY MANAGEMENT;6832A;Administration d'immeubles et autres biens immobiliers;296;2013-07-11T00:00:00;31/12/2015;32025924;1379389
417;2;PLACE PHILIPPE LEBON;59000;LILLE;1900;GSF PLUTON;8122Z;Autres activités nettoyage des bâtiments et nettoyage industriel;1198;2008-10-10T00:00:00;31/12/2015;32016544;2173405
418;94;RUE DE LANNOY;59800;LILLE;1997;DISTRIFIVES;4711F;Hypermarchés;102;2015-05-19T00:00:00;30/09/2015;31927904;339339
419;;AVENUE WILLY BRANDT;59777;LILLE;2016;CESI SAS;8542Z;Enseignement supérieur;187;2016-12-01T00:00:00;31/12/2015;31725620;1008773
420;;RUE DE BETHUNE;59800;LILLE;2010;ETABLISSEMENTS CHARLES CHEVIGNON;4771Z;Commerce de détail d'habillement en magasin spécialisé;242;2010-06-08T00:00:00;31/08/2015;31682613;-6393351
421;39;RUE NATIONALE;59800;LILLE;2010;ETABLISSEMENTS CHARLES CHEVIGNON;4771Z;Commerce de détail d'habillement en magasin spécialisé;242;2010-06-08T00:00:00;31/08/2015;31682613;-6393351
422;;CTRE COMMERCIAL EURALILLE;59777;LILLE;2006;ETABLISSEMENTS CHARLES CHEVIGNON;4771Z;Commerce de détail d'habillement en magasin spécialisé;242;2006-03-14T00:00:00;31/08/2015;31682613;-6393351
423;39;RUE DE LA GRANDE CHAUSSEE;59800;LILLE;2014;ETABLISSEMENTS CHARLES CHEVIGNON;4771Z;Commerce de détail d'habillement en magasin spécialisé;242;2014-09-17T00:00:00;31/08/2015;31682613;-6393351
424;2;PLACE GUY DE DAMPIERRE;59000;LILLE;1981;ATLAS COPCO CREPELLE;2813Z;Fabrication d'autres pompes et compresseurs;77;2015-08-01T00:00:00;31/12/2015;31213249;3360954
425;24;RUE FAIDHERBE;59000;LILLE;2004;HAPPY CURL;4645Z;Commerce de gros de parfumerie et de produits de beauté;262;2014-04-02T00:00:00;28/02/2015;31187815;1499229
426;203;RUE LEON GAMBETTA;59000;LILLE;1997;HAPPY CURL;4645Z;Commerce de gros de parfumerie et de produits de beauté;262;2015-01-08T00:00:00;28/02/2015;31187815;1499229
427;49;RUE DE LA GRANDE CHAUSSEE;59800;LILLE;2001;FATHER AND SONS;4771Z;Commerce de détail d'habillement en magasin spécialisé;147;2001-07-03T00:00:00;31/01/2015;30940582;2345948
428;130;BOULEVARD DE LA LIBERTE;59800;LILLE;2015;PRANAR M FRANCE;4675Z;Commerce de gros de produits chimiques;23;2016-01-31T00:00:00;31/12/2015;30173045;2525650
429;33;RUE NEUVE;59800;LILLE;2006;LUSH FRANCE;4775Z;Comm. détail de parfumerie & produits de beauté en magasin spéc.;296;2006-07-13T00:00:00;30/06/2015;29729775;2185914
430;36;RUE DE L HOPITAL MILITAIRE;59800;LILLE;2015;VIVERIS TECHNOLOGIES;6202A;Conseil en systèmes et logiciels informatiques;380;2015-11-25T00:00:00;31/12/2015;29447329;955113
431;;AVENUE WILLY BRANDT;59777;LILLE;2013;L'YSER;8110Z;Activités combinées de soutien lié aux bâtiments;700;2014-07-15T00:00:00;31/12/2015;29420528;520855
432;323;BOULEVARD DU PRESIDENT HOOVER;59000;LILLE;2012;EXPERIAN FRANCE;6202A;Conseil en systèmes et logiciels informatiques;189;2014-09-15T00:00:00;31/03/2015;29182978;-7895189
433;;AVENUE DE LA ROTONDE;59160;LILLE;1998;FRANCE EUROPE;4639A;Commerce de gros (commerce interentreprises) de produits surgelés;6;2012-11-07T00:00:00;30/06/2015;28955906;60875
434;15;RUE DE LA BOURSE;59800;LILLE;2011;DINH VAN;4648Z;Commerce de gros d'articles d'horlogerie et de bijouterie;20;2011-12-15T00:00:00;30/06/2015;28839929;2389079
435;28;PLACE DE LA GARE;59800;LILLE;2009;SODIE;7022Z;Conseil pour les affaires et autres conseils de gestion;240;2010-01-12T00:00:00;31/12/2015;28532856;854662
436;;ZAMIN 2EME AVENUE;59160;LILLE;2002;SICAD FRANCE;2229B;Fabrication produits de consommation courante en plastique;78;2013-04-30T00:00:00;31/12/2015;28109306;882177
437;58;RUE DE PARIS;59800;LILLE;2003;H 3 M;4771Z;Commerce de détail d'habillement en magasin spécialisé;212;2003-03-11T00:00:00;31/01/2015;27881119;147888
438;2;RUE INKERMANN;59000;LILLE;2015;PROMOTION PICHET;7010Z;Activités des sièges sociaux;100;2015-08-06T00:00:00;31/12/2015;27758024;10326905
439;12;PLACE SAINT HUBERT;59800;LILLE;2014;TRSB - TECHNOLOGIES RESEAUX SYSTEMES BASES DE DONNEES;6203Z;Gestion d'installations informatiques;205;2014-08-13T00:00:00;31/12/2015;27647266;151474
440;777;CTRE COMMERCIAL EURALILLE;59777;LILLE;2009;SOC LILLOISE ANIMATION TOURISTIQUE;9200Z;Organisation de jeux de hasard et d'argent;316;2015-03-25T00:00:00;31/10/2015;27423935;-7532003
441;3;RUE DU MOLINEL;59800;LILLE;2016;CARREFOUR VOYAGES;7911Z;Activités des agences de voyage;659;2016-06-21T00:00:00;31/12/2015;27329417;-4366055
442;130;RUE DU GRAND BUT LOMME;59160;LILLE;1999;CARREFOUR VOYAGES;7911Z;Activités des agences de voyage;659;2000-05-25T00:00:00;31/12/2015;27329417;-4366055
443;;CTRE COMMERCIAL EURALILLE;59777;LILLE;1999;CARREFOUR VOYAGES;7911Z;Activités des agences de voyage;659;1999-02-04T00:00:00;31/12/2015;27329417;-4366055
444;8;RUE ANATOLE FRANCE;59000;LILLE;2009;ELISA;9311Z;Gestion d'installations sportives;;2009-07-15T00:00:00;31/12/2015;27104054;-12245535
445;128;RUE DU FAUBOURG DE DOUAI;59000;LILLE;2014;ARTIMEX;4642Z;Commerce de gros d'habillement et de chaussures;;2014-01-24T00:00:00;31/12/2015;27062336;220562
446;102;RUE DE CANTELEU;59000;LILLE;2002;ARTIMEX;4642Z;Commerce de gros d'habillement et de chaussures;0;2008-02-27T00:00:00;31/12/2015;27062336;220562
447;;RUE DU CHEMIN SAINT MARTIN;59160;LILLE;2014;EUROPEENNE DE DISTRIBUTION ET LOGISTIQUE;7022Z;Conseil pour les affaires et autres conseils de gestion;96;2014-12-23T00:00:00;31/12/2015;27005414;1648178
448;69;RUE DE LA LOUVIERE;59800;LILLE;1971;HOPITAL PRIVE LA LOUVIERE;8610Z;Activités hospitalières;485;2016-08-26T00:00:00;30/06/2015;26742806;1355006
449;;RUE DU CHATEAU D ISENGHIEN;59160;LILLE;2014;RESDIDA;5610A;Restauration traditionnelle;367;2014-12-11T00:00:00;31/12/2015;26680317;-1283770
450;13;RUE BERTHELOT;59000;LILLE;2008;EUROPE SERVICES PROPRETE;8121Z;Nettoyage courant des bâtiments;1324;2012-06-08T00:00:00;31/12/2015;26482087;2258049
451;2;RUE DE TENREMONDE;59800;LILLE;2012;LEYTON FRANCE;7022Z;Conseil pour les affaires et autres conseils de gestion;143;2013-01-20T00:00:00;30/06/2015;26016021;713358
452;253;BOULEVARD DE LEEDS;59777;LILLE;2009;WANTY;4312A;Travaux de terrassement courants et travaux préparatoires;5;2015-06-26T00:00:00;30/11/2015;26006730;51698
453;;LE GRAND BUT;59160;LILLE;2010;PIZZA FRANCE;5610A;Restauration traditionnelle;695;2012-01-01T00:00:00;30/11/2015;25938046;-145110
454;21;RUE DES CHATS BOSSUS;59800;LILLE;2013;DE FURSAC;1413Z;Fabrication de vàªtements de dessus;136;2013-12-04T00:00:00;31/01/2015;25913770;2501958
455;31;RUE DE PUEBLA;59800;LILLE;1992;CIE FONCIERE ALPHA SNC;6831Z;Agences immobilières;0;1993-05-18T00:00:00;31/12/2015;25544405;7402069
456;13;RUE SAINTE CATHERINE;59800;LILLE;1993;CIE FONCIERE ALPHA SNC;6831Z;Agences immobilières;0;1997-09-01T00:00:00;31/12/2015;25544405;7402069
457;14;RUE DE SAINT OMER;59800;LILLE;1993;CIE FONCIERE ALPHA SNC;6831Z;Agences immobilières;0;1994-09-06T00:00:00;31/12/2015;25544405;7402069
458;25;RUE NEGRIER;59800;LILLE;1992;CIE FONCIERE ALPHA SNC;6831Z;Agences immobilières;0;1996-03-11T00:00:00;31/12/2015;25544405;7402069
459;7;RUE DES AUGUSTINS;59800;LILLE;2016;M.C.S. & ASSOCIES;8291Z;Activ. de recouvrement factures & d'info. financ. s/la clientèle;221;2016-08-19T00:00:00;31/12/2015;25361660;8874361
460;253;BOULEVARD DE LEEDS;59777;LILLE;2011;YOOPALA SERVICES;8899B;Action sociale sans hébergement n.c.a.;946;2012-10-08T00:00:00;30/06/2015;25361528;-1190112
461;;BOULEVARD DE TURIN;59777;LILLE;2013;MAIA SONNIER;4299Z;Construction d'autres ouvrages de génie civil n.c.a.;108;2014-09-02T00:00:00;31/12/2015;25315276;1211524
462;130;BOULEVARD DE LA LIBERTE;59800;LILLE;2015;BPI.FORMIPAC FRANCE;4649Z;Commerce de gros d'autres biens domestiques;9;2016-11-30T00:00:00;31/12/2015;25192985;159059
463;33;AVENUE LE CORBUSIER;59800;LILLE;2007;CM-CIC GESTION;6630Z;Gestion de fonds;100;2008-01-29T00:00:00;31/12/2015;24897640;419136
464;13;RUE BERTHELOT;59000;LILLE;2008;ZETES FRANCE;4651Z;Comm. de gros d'ordinat., d'éqpts informatiq. périph. & logiciels;90;2010-01-24T00:00:00;31/12/2015;24479854;-249784
465;27;BOULEVARD MONTEBELLO;59000;LILLE;2011;TOMMASINI CONSTRUCTION;4120B;Construction d'autres bâtiments;185;2012-11-08T00:00:00;31/10/2015;24462159;-939734
466;226;RUE NATIONALE;59800;LILLE;2001;APRIL MON ASSURANCE;6622Z;Activités des agents et courtiers d'assurances;358;2016-06-14T00:00:00;31/12/2015;24428000;-8078000
467;153;RUE PIERRE LEGRAND;59800;LILLE;2007;APRIL MON ASSURANCE;6622Z;Activités des agents et courtiers d'assurances;358;2008-01-14T00:00:00;31/12/2015;24428000;-8078000
468;47;RUE DE LA GRANDE CHAUSSEE;59800;LILLE;2011;GANT FRANCE;4642Z;Commerce de gros d'habillement et de chaussures;103;2011-05-31T00:00:00;31/12/2015;24269761;-2221105
